,CURR_TYPE,DATES,RATES
0,USD,2017-03-10,0.74054
1,INR,2017-03-10,49.345
2,GBP,2017-03-10,0.6092
3,EUR,2017-03-10,0.69823
4,USD,2017-03-09,0.73928
5,INR,2017-03-09,49.327
6,GBP,2017-03-09,0.60715
7,EUR,2017-03-09,0.70067
8,USD,2017-03-08,0.74375
9,INR,2017-03-08,49.67
10,GBP,2017-03-08,0.61124
11,EUR,2017-03-08,0.70457
12,USD,2017-03-07,0.74526
13,INR,2017-03-07,49.658
14,GBP,2017-03-07,0.61102
15,EUR,2017-03-07,0.70467
16,USD,2017-03-06,0.74681
17,INR,2017-03-06,49.775
18,GBP,2017-03-06,0.60847
19,EUR,2017-03-06,0.70507
20,USD,2017-03-03,0.74606
21,INR,2017-03-03,49.85
22,GBP,2017-03-03,0.60981
23,EUR,2017-03-03,0.70616
24,USD,2017-03-03,0.74606
25,INR,2017-03-03,49.85
26,GBP,2017-03-03,0.60981
27,EUR,2017-03-03,0.70616
28,USD,2017-03-03,0.74606
29,INR,2017-03-03,49.85
30,GBP,2017-03-03,0.60981
31,EUR,2017-03-03,0.70616
32,USD,2017-03-02,0.74732
33,INR,2017-03-02,49.897
34,GBP,2017-03-02,0.60815
35,EUR,2017-03-02,0.71078
36,USD,2017-03-01,0.75
37,INR,2017-03-01,50.125
38,GBP,2017-03-01,0.60916
39,EUR,2017-03-01,0.71205
40,USD,2017-02-28,0.75779
41,INR,2017-02-28,50.507
42,GBP,2017-02-28,0.61002
43,EUR,2017-02-28,0.7151
44,USD,2017-02-27,0.76226
45,INR,2017-02-27,50.84
46,GBP,2017-02-27,0.61401
47,EUR,2017-02-27,0.71999
48,USD,2017-02-24,0.76285
49,INR,2017-02-24,50.812
50,GBP,2017-02-24,0.60763
51,EUR,2017-02-24,0.71906
52,USD,2017-02-24,0.76285
53,INR,2017-02-24,50.812
54,GBP,2017-02-24,0.60763
55,EUR,2017-02-24,0.71906
56,USD,2017-02-24,0.76285
57,INR,2017-02-24,50.812
58,GBP,2017-02-24,0.60763
59,EUR,2017-02-24,0.71906
60,USD,2017-02-23,0.7624
61,INR,2017-02-23,50.87
62,GBP,2017-02-23,0.61024
63,EUR,2017-02-23,0.72108
64,USD,2017-02-22,0.75939
65,INR,2017-02-22,50.869
66,GBP,2017-02-22,0.61001
67,EUR,2017-02-22,0.72233
68,USD,2017-02-21,0.76134
69,INR,2017-02-21,50.961
70,GBP,2017-02-21,0.61315
71,EUR,2017-02-21,0.72254
72,USD,2017-02-20,0.76275
73,INR,2017-02-20,51.058
74,GBP,2017-02-20,0.61176
75,EUR,2017-02-20,0.71849
76,USD,2017-02-17,0.76459
77,INR,2017-02-17,51.304
78,GBP,2017-02-17,0.61541
79,EUR,2017-02-17,0.71793
80,USD,2017-02-17,0.76459
81,INR,2017-02-17,51.304
82,GBP,2017-02-17,0.61541
83,EUR,2017-02-17,0.71793
84,USD,2017-02-17,0.76459
85,INR,2017-02-17,51.304
86,GBP,2017-02-17,0.61541
87,EUR,2017-02-17,0.71793
88,USD,2017-02-16,0.76827
89,INR,2017-02-16,51.471
90,GBP,2017-02-16,0.61385
91,EUR,2017-02-16,0.72124
92,USD,2017-02-15,0.76436
93,INR,2017-02-15,51.126
94,GBP,2017-02-15,0.61553
95,EUR,2017-02-15,0.72417
96,USD,2017-02-14,0.76745
97,INR,2017-02-14,51.276
98,GBP,2017-02-14,0.61478
99,EUR,2017-02-14,0.72244
100,USD,2017-02-13,0.76374
101,INR,2017-02-13,51.152
102,GBP,2017-02-13,0.60997
103,EUR,2017-02-13,0.71855
104,USD,2017-02-10,0.76112
105,INR,2017-02-10,50.945
106,GBP,2017-02-10,0.61074
107,EUR,2017-02-10,0.71608
108,USD,2017-02-10,0.76112
109,INR,2017-02-10,50.945
110,GBP,2017-02-10,0.61074
111,EUR,2017-02-10,0.71608
112,USD,2017-02-10,0.76112
113,INR,2017-02-10,50.945
114,GBP,2017-02-10,0.61074
115,EUR,2017-02-10,0.71608
116,USD,2017-02-09,0.76284
117,INR,2017-02-09,50.913
118,GBP,2017-02-09,0.60709
119,EUR,2017-02-09,0.71347
120,USD,2017-02-08,0.7607
121,INR,2017-02-08,51.077
122,GBP,2017-02-08,0.60852
123,EUR,2017-02-08,0.71327
124,USD,2017-02-07,0.7586
125,INR,2017-02-07,51.146
126,GBP,2017-02-07,0.61349
127,EUR,2017-02-07,0.71063
128,USD,2017-02-06,0.76585
129,INR,2017-02-06,51.437
130,GBP,2017-02-06,0.6145
131,EUR,2017-02-06,0.71495
132,USD,2017-02-03,0.76596
133,INR,2017-02-03,51.565
134,GBP,2017-02-03,0.61337
135,EUR,2017-02-03,0.71311
136,USD,2017-02-03,0.76596
137,INR,2017-02-03,51.565
138,GBP,2017-02-03,0.61337
139,EUR,2017-02-03,0.71311
140,USD,2017-02-03,0.76596
141,INR,2017-02-03,51.565
142,GBP,2017-02-03,0.61337
143,EUR,2017-02-03,0.71311
144,USD,2017-02-02,0.76925
145,INR,2017-02-02,51.718
146,GBP,2017-02-02,0.61258
147,EUR,2017-02-02,0.71174
148,USD,2017-02-01,0.76541
149,INR,2017-02-01,51.61
150,GBP,2017-02-01,0.60593
151,EUR,2017-02-01,0.70937
152,USD,2017-01-31,0.76515
153,INR,2017-01-31,51.793
